TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,555563699,555563699,1,Faerie Glen Nature Reserve,Faerie Glen Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,1.25414640873,1.25414619491814,Not Applicable,0,Designated,2014,Federal or national ministry or agency,State,Not Reported,Not Reported,State Verified,1840,ZA-GP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563700,555563700,1,False Bay Park,False Bay Park,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,11.9214421474,11.9215034332512,Not Applicable,0,Designated,1944,Federal or national ministry or agency,State,KwaZulu-Natal Nature Conservation Board,Not Reported,State Verified,1840,ZA-NL,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555570651,555570651,1,Pierre-Jeanne Gerber No 3 Private Nature Reserve,Pierre-Jeanne Gerber No 3 Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,0.227180619714,0.227181189244573,Not Applicable,0,Designated,1988,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-WC,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563708,555563708,1,Franklin Private Nature Reserve,Franklin Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,1.91867236627,1.91867183531152,Not Applicable,0,Designated,1988,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-FS,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563709,555563709,1,Franscois and Annelle Marits Private Nature Reserve,Franscois and Annelle Marits Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,2,0.0185133437064,0.0185133920292661,0.0185133437064,0.0185133920292661,Not Reported,0,Designated,2009,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-EC,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563711,555563711,1,G. L. Vosloo Private Nature Reserve,G. L. Vosloo Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,8.63417284813,8.63411566701796,Not Applicable,0,Designated,1969,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-MP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563710,555563710,1,Josua Moolman Private Nature Reserve,Josua Moolman Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,20.2622912478,20.2626207238833,Not Applicable,0,Designated,1965,Individual landowners,Individual landowners,Private Owners,Not Reported,State Verified,1840,ZA-MP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563712,555563712,1,G.O.W. Klause Private Nature Reserve,G.O.W. Klause Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,14.0511201086,14.0501137864963,Not Applicable,0,Designated,1967,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563724,555563724,1,Glen Ora Private Nature Reserve,Glen Ora Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,21.9686834941,21.9712070556489,Not Applicable,0,Designated,1962,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563725,555563725,1,Glenesk Private Nature Reserve,Glenesk Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,15.1425469256,15.1424121547776,Not Applicable,0,Designated,1967,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563726,555563726,1,Goetsch Bros Private Nature Reserve,Goetsch Bros Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,9.09774145669,9.09772880804948,Not Applicable,0,Designated,1967,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563729,555563729,1,Groenkloof Nature Reserve,Groenkloof Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,5.15882740858,5.15882582237965,Not Applicable,0,Designated,1913,Federal or national ministry or agency,State,City of Tshwane Metropolitan Municipality,Not Reported,State Verified,1840,ZA-GP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563730,555563730,1,Grootpan Nature Reserve,Grootpan Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,13.2793226203,13.279203315342,Not Applicable,0,Designated,1973,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563731,555563731,1,Grootrietvley Private Nature Reserve,Grootrietvley Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,6.82646762858,6.82634374419337,Not Applicable,0,Designated,1962,Individual landowners,Individual landowners,Private Owners,Not Reported,State Verified,1840,ZA-MP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563732,555563732,1,Grootvlei Nature Reserve,Grootvlei Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,7.64322903746,7.64322817904202,Not Applicable,0,Designated,2015,Individual landowners,Individual landowners,PUGG INVESTMENTS (PTY) LTD,Not Reported,State Verified,1840,ZA-WC,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563733,555563733,1,Gryshemp Private Nature Reserve,Gryshemp Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,5.2644146449,5.26449772784846,Not Applicable,0,Designated,1955,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563734,555563734,1,Gys Vlok Nature Reserve,Gys Vlok Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,11.0915703472,11.0912087350493,Not Applicable,0,Designated,1974,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563735,555563735,1,H. L. Crause Private Nature Reserve,H. L. Crause Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,16.2903891578,16.2904758064205,Not Applicable,0,Designated,1958,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555570684,555570684,1,Taayskloof Private Nature Reserve,Taayskloof Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,42.9023003487,42.9021715406083,Not Applicable,0,Designated,1998,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-WC,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563744,555563744,1,Hawaan Forest Estate Nature Reserve,Hawaan Forest Estate Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,0.449674614479,0.449669595246547,Not Applicable,0,Designated,2015,Individual landowners,Individual landowners,Hawaan Forest Concervation Trust,Not Reported,State Verified,1840,ZA-NL,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563745,555563745,1,Heidelberg Nature Reserve,Heidelberg Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,0.161954910267,0.161954910259044,Not Applicable,0,Designated,1972,Federal or national ministry or agency,State,Hessequa Municipality,Not Reported,State Verified,1840,ZA-WC,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563746,555563746,1,Hennie Meyer Private Nature Reserve,Hennie Meyer Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,20.0056874592,20.0076314777197,Not Applicable,0,Designated,1967,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-MP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563747,555563747,1,Henra Private Nature Reserve,Henra Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,7.84849727226,7.84867903917406,Not Applicable,0,Designated,1960,Individual landowners,Individual landowners,Private Owners,Not Reported,State Verified,1840,ZA-MP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563763,555563763,1,Brits Private Nature Reserve,Brits Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,9.00806008556,9.00971005514296,Not Applicable,0,Designated,1965,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-GP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563750,555563750,1,J. M. Beetge Private Nature Reserve,J. M. Beetge Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,2.28668246697,2.28666576633611,Not Applicable,0,Designated,1956,Individual landowners,Individual landowners,Private Owners,Not Reported,State Verified,1840,ZA-MP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563767,555563767,1,De Witskraal Private Nature Reserve,De Witskraal Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,11.5340391054,11.5339734556823,Not Applicable,0,Designated,1964,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-GP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563768,555563768,1,Deon Private Nature Reserve,Deon Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,31.4376124022,31.4373410625352,Not Applicable,0,Designated,1956,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-NW,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563782,555563782,1,Flintbeck Private Nature Reserve,Flintbeck Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,4.05656231523,4.05659279808993,Not Applicable,0,Designated,1960,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-NW,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563772,555563772,1,Eerstbegin Private Nature Reserve,Eerstbegin Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,15.7585118163,15.7585002006738,Not Applicable,0,Designated,1969,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-NW,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563773,555563773,1,Elandsberg Private Nature Reserve,Elandsberg Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,11.364465984,11.3638802559109,Not Applicable,0,Designated,1967,Individual landowners,Individual landowners,Elandsberg Organic Farms (Pty) Ltd,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563774,555563774,1,Elandskloof Private Nature Reserve,Elandskloof Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,23.5681938983,23.5688637418925,Not Applicable,0,Designated,1958,Individual landowners,Individual landowners,Private Owners,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563775,555563775,1,Eldorado Private Nature Reserve,Eldorado Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,27.1942371308,27.1956625889836,Not Applicable,0,Designated,1954,Individual landowners,Individual landowners,Private Owners,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563776,555563776,1,Elma Private Nature Reserve,Elma Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,1.56642381866,1.56651716791421,Not Applicable,0,Designated,1962,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-NW,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555570232,555570232,1,Grootfontein Private Nature Reserve - Philippolis,Grootfontein Private Nature Reserve - Philippolis,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,46.5310262752,46.5309029195797,Not Applicable,0,Designated,1997,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-FS,ZAF,ZAF,Not Applicable,Not Applicable
